Exercice;Fonctions;Recette/Prestations ;Recette/Transferts ;Recette/Dette ;Recette/Total ;Recette/Prélèvements ;Recette/TotalAvecPrélèvement ;Dépenses/Personnel ;Dépenses/Fonctionnement ;Dépenses/Transferts ;Dépenses/Dette ;Dépenses/Total ;Dépenses/Prélèvements ;Dépenses/TotalAprèsPrélèvements
2014;999 Total exercice propre;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2013;009 Recettes & dépenses générales;5500.0;5245021.33;88250.0;5338771.33;0.0;5338771.33;0.0;11518.0;1003027.12;4984716.36;5999261.48;0.0;5999261.48
2013;369 Pompiers;593000.0;1519394.22;0.0;2112394.22;0.0;2112394.22;10830449.77;726645.26;0.0;747048.6;12304143.63;0.0;12304143.63
2013;499 Communic. - Voirie - Cours D'eau;57948.23;2237623.75;4446.46;2300018.44;0.0;2300018.44;7648932.17;2053127.0;5000.0;3049585.53;12756644.7;0.0;12756644.7
2013;599 Commerce - Industrie;158000.0;185000.0;3720802.19;4063802.19;0.0;4063802.19;583281.69;1263000.0;704625.0;3031.25;2553937.94;0.0;2553937.94
2013;699 Agriculture;28695.38;0.0;0.0;28695.38;0.0;28695.38;0.0;0.0;0.0;22117.83;22117.83;0.0;22117.83
2013;729 Ens.gard(721), Ens.prim(722);180000.0;2507068.18;0.0;2687068.18;0.0;2687068.18;3525104.53;975165.0;11885.0;729489.97;5241644.5;0.0;5241644.5
2013;749 Enseignement supérieur;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2013;799 Cultes;0.0;0.0;0.0;0.0;0.0;0.0;0.0;56000.0;1150000.0;263021.43;1469021.43;0.0;1469021.43
2013;849 Aide sociale et familiale;3900.0;1080804.61;0.0;1084704.61;0.0;1084704.61;989487.47;128850.0;1931985.98;31634.92;3081958.37;0.0;3081958.37
2013;859 Emploi;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2013;874 Alimentation - Eau;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2013;876 Désinfect.-Nett.-Immond.;64665.0;61825.0;0.0;126490.0;0.0;126490.0;1983723.93;7399500.0;7575.0;64838.89;9455637.82;0.0;9455637.82
2013;879 Cimetières-Protec.environ.;301000.0;249500.0;0.0;550500.0;0.0;550500.0;883937.7;119300.0;62000.0;80056.32;1145294.02;0.0;1145294.02
2018;000 Divers;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2018;009 Recettes & dépenses générales;245500.0;6090626.44;13250.0;6349376.44;0.0;6349376.44;0.0;250168.0;754783.69;5114536.41;6119488.1;0.0;6119488.1
2018;029 Fonds;0.0;42647210.88;0.0;42647210.88;0.0;42647210.88;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2018;123 Administration générale;412150.0;5340282.55;125000.0;5877432.55;0.0;5877432.55;34076203.43;3820740.3;157212.67;999421.73;39053578.13;0.0;39053578.13
2018;149 Calamités;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2018;169 Aide aux pays en voie de développement;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2018;399 Justice - Police;0.0;140000.0;0.0;140000.0;0.0;140000.0;0.0;15000.0;19725155.4;72677.19;19812832.59;0.0;19812832.59
2018;739 Ens.sec(731),art(734),tech(735);268000.0;214000.0;0.0;482000.0;0.0;482000.0;320775.58;111342.0;239319.0;248853.16;920289.74;0.0;920289.74
2018;749 Enseignement supérieur;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2018;799 Cultes;0.0;0.0;0.0;0.0;0.0;0.0;0.0;45008.86;1060000.0;234873.87;1339882.73;0.0;1339882.73
2019;009 Recettes & dépenses générales;245500.0;6090626.44;13250.0;6349376.44;0.0;6349376.44;0.0;250168.0;754783.69;5003742.97;6008694.66;0.0;6008694.66
2019;149 Calamités;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2019;159 Relations avec l'étranger;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2019;369 Pompiers;53000.0;1086524.98;0.0;1139524.98;0.0;1139524.98;0.0;71500.0;9959141.38;1213352.82;11243994.2;0.0;11243994.2
2019;739 Ens.sec(731),art(734),tech(735);268000.0;214000.0;0.0;482000.0;0.0;482000.0;342998.04;101192.0;239319.0;280802.85;964311.89;0.0;964311.89
2019;749 Enseignement supérieur;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2019;767 Bibliothèques publiques;55500.0;857187.11;0.0;912687.11;0.0;912687.11;1530028.09;180322.5;0.0;19803.6;1730154.19;0.0;1730154.19
2019;839 Sécurité et Assist. sociale;13000.0;1783997.85;0.0;1796997.85;460000.0;2256997.85;2006305.48;81125.0;18470484.82;16890.06;20574805.36;0.0;20574805.36
2019;859 Emploi;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2019;939 Logement - Urbanisme;681812.94;483255.37;2137559.03;3302627.34;0.0;3302627.34;764279.57;264630.0;27250.0;1225466.81;2281626.38;0.0;2281626.38
2019;999 Total exercice propre;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2017;009 Recettes & dépenses générales;245500.0;5996373.68;13250.0;6255123.68;0.0;6255123.68;0.0;250168.0;746891.76;4977694.62;5974754.38;0.0;5974754.38
2017;599 Commerce - Industrie;1339026.46;154732.68;2808915.61;4302674.75;0.0;4302674.75;854825.36;1721955.0;885731.59;16757.76;3479269.71;0.0;3479269.71
2017;729 Ens.gard(721), Ens.prim(722);0.0;2971032.37;0.0;2971032.37;0.0;2971032.37;3469221.49;732710.0;24357.0;1019631.23;5245919.72;0.0;5245919.72
2017;739 Ens.sec(731),art(734),tech(735);266000.0;214000.0;0.0;480000.0;0.0;480000.0;313026.99;111342.0;239000.0;231815.53;895184.52;0.0;895184.52
2017;839 Sécurité et Assist. sociale;8500.0;1605004.76;0.0;1613504.76;460000.0;2073504.76;1648897.45;76125.0;16485644.0;2905.62;18213572.07;500000.0;18713572.07
2017;849 Aide sociale et familiale;4650.0;2261148.26;0.0;2265798.26;0.0;2265798.26;2452297.72;290249.0;2237576.47;169792.2;5149915.39;0.0;5149915.39
2017;877 Eaux usées;5000.0;0.0;0.0;5000.0;0.0;5000.0;0.0;47355.0;161051.52;404658.01;613064.53;0.0;613064.53
2016;000 Divers;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2016;049 Impôts et Redevances;0.0;103290121.82;0.0;103290121.82;0.0;103290121.82;0.0;0.0;67500.0;0.0;67500.0;6786703.9;6854203.9
2016;123 Administration générale;360372.0;4852335.59;125000.0;5337707.59;0.0;5337707.59;31635501.25;3419251.81;152714.96;1026336.68;36233804.7;0.0;36233804.7
2016;159 Relations avec l'étranger;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2016;169 Aide aux pays en voie de développement;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2016;699 Agriculture;62670.5;0.0;0.0;62670.5;0.0;62670.5;0.0;0.0;800.0;0.0;800.0;0.0;800.0
2016;749 Enseignement supérieur;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2016;839 Sécurité et Assist. sociale;8500.0;1450264.07;0.0;1458764.07;460000.0;1918764.07;1656151.7;131125.0;15969386.73;1060.22;17757723.65;0.0;17757723.65
